home_team,away_team,home_goals,away_goals
Manchester United,Manchester City,0,2
Newcastle United,Manchester City,2,1
Southampton,Manchester City,1,3
Tottenham Hotspur,Manchester City,0,1
Watford,Manchester City,1,2
West Ham United,Manchester City,0,4
Wolverhampton Wanderers,Manchester City,1,1
Arsenal,Manchester United,2,0
Bournemouth,Manchester United,1,2
Brighton & Hove Albion,Manchester United,3,2
Burnley,Manchester United,0,2
Cardiff City,Manchester United,1,5
Chelsea,Manchester United,2,2
Crystal Palace,Manchester United,1,3
Everton,Manchester United,4,0
Fulham,Manchester United,0,3
Huddersfield Town,Manchester United,1,1
Leicester City,Manchester United,0,1
Liverpool,Manchester United,3,1
Manchester City,Manchester United,3,1
Newcastle United,Manchester United,0,2
Southampton,Manchester United,2,2
Tottenham Hotspur,Manchester United,0,1
Watford,Manchester United,1,2
West Ham United,Manchester United,3,1
Wolverhampton Wanderers,Manchester United,2,1
Arsenal,Newcastle United,2,0
Bournemouth,Newcastle United,2,2
Brighton & Hove Albion,Newcastle United,1,1
Burnley,Newcastle United,1,2
Cardiff City,Newcastle United,0,0
Chelsea,Newcastle United,2,1
Crystal Palace,Newcastle United,0,0
Everton,Newcastle United,1,1
Fulham,Newcastle United,0,4
Huddersfield Town,Newcastle United,0,1
Leicester City,Newcastle United,0,1
Liverpool,Newcastle United,4,0
Manchester City,Newcastle United,2,1
Manchester United,Newcastle United,3,2
Southampton,Newcastle United,0,0
Tottenham Hotspur,Newcastle United,1,0
Watford,Newcastle United,1,1
West Ham United,Newcastle United,2,0
Wolverhampton Wanderers,Newcastle United,1,1
Arsenal,Southampton,2,0
Bournemouth,Southampton,0,0
Brighton & Hove Albion,Southampton,0,1
Burnley,Southampton,1,1
Cardiff City,Southampton,1,0
Chelsea,Southampton,0,0
Crystal Palace,Southampton,0,2
Everton,Southampton,2,1
Fulham,Southampton,3,2
Huddersfield Town,Southampton,1,3
Leicester City,Southampton,1,2
Liverpool,Southampton,3,0
Manchester City,Southampton,6,1
Manchester United,Southampton,3,2
Newcastle United,Southampton,3,1
Tottenham Hotspur,Southampton,3,1
Watford,Southampton,1,1
West Ham United,Southampton,3,0
Wolverhampton Wanderers,Southampton,2,0
Arsenal,Tottenham Hotspur,4,2
Bournemouth,Tottenham Hotspur,1,0
Brighton & Hove Albion,Tottenham Hotspur,1,2
Burnley,Tottenham Hotspur,2,1
Cardiff City,Tottenham Hotspur,0,3
Chelsea,Tottenham Hotspur,2,0
Crystal Palace,Tottenham Hotspur,0,1
Everton,Tottenham Hotspur,2,6
Fulham,Tottenham Hotspur,1,2
Huddersfield Town,Tottenham Hotspur,0,2
Leicester City,Tottenham Hotspur,0,2
Liverpool,Tottenham Hotspur,2,1
Manchester City,Tottenham Hotspur,1,0
Manchester United,Tottenham Hotspur,0,3
Newcastle United,Tottenham Hotspur,1,2
Southampton,Tottenham Hotspur,2,1
Watford,Tottenham Hotspur,2,1
West Ham United,Tottenham Hotspur,0,1
Wolverhampton Wanderers,Tottenham Hotspur,2,3
Arsenal,Watford,2,0
Bournemouth,Watford,3,3
Brighton & Hove Albion,Watford,0,0
Burnley,Watford,1,3
Cardiff City,Watford,1,5
Chelsea,Watford,3,0
Crystal Palace,Watford,1,2
Everton,Watford,2,2
Fulham,Watford,1,1
Huddersfield Town,Watford,1,2
Leicester City,Watford,2,0
Liverpool,Watford,5,0
Manchester City,Watford,3,1
Manchester United,Watford,2,1
Newcastle United,Watford,1,0
Southampton,Watford,1,1
Tottenham Hotspur,Watford,2,1
West Ham United,Watford,0,2
Wolverhampton Wanderers,Watford,0,2
Arsenal,West Ham United,3,1
Bournemouth,West Ham United,2,0
Brighton & Hove Albion,West Ham United,1,0
Burnley,West Ham United,2,0
Cardiff City,West Ham United,2,0
Chelsea,West Ham United,2,0
Crystal Palace,West Ham United,1,1
Everton,West Ham United,1,3
Fulham,West Ham United,0,2
Huddersfield Town,West Ham United,1,1
Leicester City,West Ham United,1,1
Liverpool,West Ham United,4,0
Manchester City,West Ham United,1,0
Manchester United,West Ham United,2,1
Newcastle United,West Ham United,0,3
Southampton,West Ham United,1,2
Tottenham Hotspur,West Ham United,0,1
Watford,West Ham United,1,4
Wolverhampton Wanderers,West Ham United,3,0
Arsenal,Wolverhampton Wanderers,1,1
Bournemouth,Wolverhampton Wanderers,1,1
Brighton & Hove Albion,Wolverhampton Wanderers,1,0
Burnley,Wolverhampton Wanderers,2,0
Cardiff City,Wolverhampton Wanderers,2,1
Chelsea,Wolverhampton Wanderers,1,1
Crystal Palace,Wolverhampton Wanderers,0,1
Everton,Wolverhampton Wanderers,1,3
Fulham,Wolverhampton Wanderers,1,1
Huddersfield Town,Wolverhampton Wanderers,1,0
Leicester City,Wolverhampton Wanderers,2,0
Liverpool,Wolverhampton Wanderers,2,0
Manchester City,Wolverhampton Wanderers,3,0
Manchester United,Wolverhampton Wanderers,1,1
Newcastle United,Wolverhampton Wanderers,1,2
Southampton,Wolverhampton Wanderers,3,1
Tottenham Hotspur,Wolverhampton Wanderers,1,3
Watford,Wolverhampton Wanderers,1,2
West Ham United,Wolverhampton Wanderers,0,1
