month,hour,weekday,temperature,humidity,windspeed,count
9,15,4,0.72,0.51,0.1343,174
9,11,5,0.66,0.74,0.1045,192
9,7,6,0.62,0.73,0.194,38
9,3,0,0.64,0.89,0.194,43
9,23,0,0.72,0.7,0.1642,104
9,19,1,0.66,0.94,0.1045,175
9,16,2,0.54,0.94,0.3881,106
9,12,3,0.56,0.94,0.0,22
9,9,4,0.62,1.0,0.2537,69
9,5,5,0.62,0.94,0.1343,14
9,1,6,0.62,0.94,0.0,83
9,21,6,0.64,0.78,0.0896,230
9,17,0,0.72,0.51,0.1343,380
9,14,1,0.74,0.51,0.1642,189
9,10,2,0.68,0.69,0.1343,135
9,6,3,0.58,0.88,0.1045,145
9,2,4,0.62,0.73,0.1045,5
9,22,4,0.44,0.67,0.2836,115
9,18,5,0.52,0.52,0.1642,482
9,14,6,0.52,0.72,0.194,297
9,10,0,0.5,0.72,0.1642,260
9,6,1,0.5,0.77,0.2239,113
9,2,2,0.54,0.88,0.1642,5
9,22,2,0.56,0.94,0.0,148
9,18,3,0.64,0.83,0.1642,408
9,14,4,0.66,0.83,0.2239,183
9,10,5,0.62,1.0,0.1045,35
9,6,6,0.56,0.94,0.1045,18
9,2,0,0.6,0.94,0.0,106
9,22,0,0.62,0.88,0.0896,104
9,18,1,0.66,0.83,0.1045,553
9,14,2,0.68,0.79,0.1045,152
9,10,3,0.62,0.94,0.0,129
9,6,4,0.6,0.88,0.0896,111
9,2,5,0.52,0.83,0.1045,15
9,22,5,0.52,0.55,0.3284,159
10,18,6,0.38,0.87,0.2239,140
10,14,0,0.36,0.81,0.1642,256
10,10,1,0.4,0.66,0.1045,101
10,6,2,0.4,0.82,0.1045,112
10,2,3,0.46,0.82,0.1642,3
10,22,3,0.52,0.72,0.0,154
10,18,4,0.54,0.64,0.0896,538
10,14,5,0.62,0.5,0.0,256
10,10,6,0.52,0.77,0.0,337
10,6,0,0.44,0.88,0.0,21
10,2,1,0.48,0.88,0.0,19
10,22,1,0.56,0.88,0.0896,126
10,18,2,0.6,0.78,0.2239,539
10,14,3,0.54,0.94,0.2836,78
10,10,4,0.56,1.0,0.1343,69
10,6,5,0.56,0.88,0.194,94
10,2,6,0.46,0.59,0.194,56
10,22,6,0.5,0.36,0.1343,166
10,18,0,0.56,0.49,0.4478,328
10,14,1,0.58,0.49,0.194,166
10,10,2,0.56,0.68,0.0,102
10,7,3,0.52,0.77,0.2537,68
10,3,4,0.5,0.82,0.4627,1
10,23,4,0.42,0.58,0.2537,90
10,19,5,0.44,0.54,0.3881,253
10,15,6,0.48,0.51,0.2239,382
10,11,0,0.46,0.72,0.1642,333
10,7,1,0.38,0.94,0.1045,285
10,3,2,0.4,0.87,0.0,4
10,23,2,0.44,0.72,0.1343,94
10,19,3,0.5,0.82,0.0,331
10,15,4,0.52,0.83,0.1045,107
10,11,5,0.36,0.5,0.2239,168
10,7,6,0.26,0.87,0.3582,7
10,3,0,0.24,0.75,0.3582,33
10,23,0,0.26,0.87,0.0,37
10,19,1,0.4,0.66,0.0896,238
11,15,2,0.5,0.45,0.1343,186
11,11,3,0.42,0.71,0.1343,144
11,7,4,0.32,0.81,0.0896,292
11,3,5,0.38,0.87,0.1642,8
11,23,5,0.32,0.49,0.3284,89
11,19,6,0.34,0.53,0.0,204
11,15,0,0.48,0.51,0.194,306
11,11,1,0.42,0.77,0.1045,128
11,7,2,0.3,0.87,0.1045,323
11,3,3,0.32,0.93,0.0,4
11,23,3,0.38,0.87,0.0,66
11,19,4,0.36,0.71,0.2239,211
11,15,5,0.36,0.37,0.4179,216
11,11,6,0.38,0.54,0.2836,315
11,7,0,0.34,0.66,0.2239,43
11,3,1,0.44,0.67,0.2836,7
11,23,1,0.56,0.64,0.2985,61
11,19,2,0.5,0.72,0.3582,286
11,15,3,0.48,0.94,0.1045,66
11,11,4,0.32,0.66,0.3284,97
11,7,5,0.22,0.44,0.1642,216
11,3,6,0.26,0.48,0.2537,15
11,23,6,0.38,0.62,0.2239,93
11,19,0,0.5,0.72,0.1045,157
11,15,1,0.44,0.94,0.2239,108
11,11,2,0.4,0.94,0.1343,32
11,7,3,0.46,1.0,0.0896,156
11,3,4,0.28,0.65,0.1343,5
11,23,4,0.34,0.76,0.1045,21
11,19,5,0.42,0.67,0.0,134
11,15,6,0.5,0.42,0.1045,314
11,11,0,0.5,0.63,0.3582,240
11,8,1,0.42,0.94,0.0,407
11,4,2,0.52,0.83,0.3284,6
11,0,3,0.36,0.62,0.4179,24
11,20,3,0.32,0.57,0.2836,190
12,16,4,0.4,0.4,0.194,201
12,12,5,0.36,0.57,0.1343,204
12,8,6,0.24,0.75,0.0896,63
12,4,0,0.26,0.87,0.0,11
12,0,1,0.32,0.87,0.0896,24
12,20,1,0.46,0.82,0.1045,205
12,16,2,0.46,1.0,0.2537,88
12,12,3,0.44,1.0,0.1343,33
12,8,4,0.22,0.55,0.2836,429
12,4,5,0.22,0.8,0.0,2
12,0,6,0.26,0.81,0.1045,77
12,20,6,0.24,0.35,0.2239,124
12,16,0,0.3,0.26,0.0,206
12,12,1,0.28,0.52,0.1045,145
12,8,2,0.2,0.69,0.1045,400
12,4,3,0.26,0.75,0.0,4
12,0,4,0.32,0.7,0.1642,50
12,20,4,0.52,0.59,0.3284,221
12,16,5,0.32,0.45,0.2239,224
12,12,6,0.28,0.45,0.2836,244
12,8,0,0.2,0.69,0.0,32
12,4,1,0.16,0.86,0.1343,4
12,0,2,0.36,0.57,0.1045,21
12,20,2,0.36,0.66,0.0,147
12,16,3,0.44,1.0,0.3284,101
12,12,4,0.48,0.55,0.0,202
12,8,5,0.4,0.76,0.2537,182
12,4,6,0.32,0.66,0.1642,3
12,0,0,0.24,0.6,0.194,6
12,21,0,0.3,0.56,0.1343,19
12,18,1,0.32,0.49,0.0896,75
12,14,2,0.42,0.82,0.3881,14
12,11,3,0.36,0.46,0.3582,111
12,7,4,0.18,0.64,0.0896,106
12,3,5,0.24,0.7,0.1045,6
12,23,5,0.36,0.66,0.2537,73
12,19,6,0.42,0.54,0.2239,92
1,15,0,0.46,0.51,0.2985,265
1,12,1,0.28,0.36,0.2537,202
1,8,2,0.16,0.55,0.2836,354
1,4,3,0.02,0.41,0.194,2
1,0,4,0.22,0.47,0.194,14
1,20,4,0.3,0.49,0.0,177
1,16,5,0.52,0.27,0.2836,294
1,12,6,0.4,0.43,0.2239,376
1,8,0,0.3,0.52,0.1343,57
1,4,1,0.22,0.64,0.1045,4
1,0,2,0.22,0.87,0.1045,14
1,21,2,0.32,0.66,0.0896,116
1,17,3,0.34,0.87,0.2239,134
1,13,4,0.42,0.77,0.1642,183
1,9,5,0.22,0.47,0.3881,214
1,5,6,0.14,0.5,0.1343,4
1,1,0,0.16,0.47,0.2985,42
1,21,0,0.16,0.4,0.1642,72
1,17,1,0.26,0.48,0.3284,193
1,14,2,0.44,0.62,0.4925,132
1,10,3,0.3,0.42,0.4627,93
1,6,4,0.12,0.54,0.1642,86
1,2,5,0.26,0.48,0.1343,11
1,22,5,0.2,0.37,0.2239,72
1,18,6,0.2,0.75,0.3881,110
1,14,0,0.16,0.8,0.1642,182
1,10,1,0.2,0.93,0.0,149
1,6,2,0.32,0.93,0.194,89
1,2,3,0.28,0.7,0.194,6
1,22,3,0.3,0.65,0.0896,113
1,18,4,0.42,0.71,0.0,406
1,14,5,0.5,0.55,0.5522,176
1,10,6,0.26,0.7,0.1343,191
1,6,0,0.2,0.4,0.1045,5
1,2,1,0.24,0.48,0.3582,7
1,22,1,0.28,0.48,0.2239,94
1,18,2,0.54,0.24,0.3582,502
2,14,3,0.62,0.33,0.2239,192
2,10,4,0.42,0.77,0.1045,78
2,6,5,0.24,0.65,0.1642,88
2,2,6,0.24,0.7,0.0896,44
2,22,6,0.24,0.87,0.0896,95
2,18,0,0.3,0.52,0.2537,181
2,15,1,0.42,0.32,0.2836,171
2,11,2,0.36,0.46,0.194,129
2,7,3,0.24,0.7,0.1045,281
2,3,4,0.22,0.8,0.2836,4
2,23,4,0.3,0.52,0.0,84
2,19,5,0.32,0.57,0.0,262
2,15,6,0.3,0.61,0.2985,124
2,11,0,0.12,0.42,0.2985,124
2,7,1,0.1,0.54,0.194,195
2,3,2,0.26,0.52,0.0,3
2,23,2,0.36,0.5,0.0896,57
2,19,3,0.38,0.43,0.1642,311
2,15,4,0.34,0.76,0.0,53
2,11,5,0.36,0.62,0.4179,142
2,7,6,0.24,0.7,0.0,41
2,3,0,0.3,0.36,0.2239,15
2,23,0,0.22,0.93,0.1642,35
2,20,1,0.34,0.34,0.194,126
2,17,2,0.38,0.4,0.4478,432
2,13,3,0.42,0.54,0.2985,190
2,9,4,0.36,0.81,0.2537,242
2,5,5,0.4,0.87,0.194,26
2,1,6,0.34,0.42,0.3582,46
2,21,6,0.24,0.35,0.3284,85
2,17,0,0.36,0.32,0.2239,287
2,13,1,0.4,0.43,0.2836,182
2,9,2,0.28,0.45,0.3582,232
2,6,3,0.28,0.75,0.0896,104
3,2,4,0.46,0.94,0.2836,6
3,22,4,0.38,0.5,0.2537,126
3,18,5,0.36,0.87,0.194,160
3,14,6,0.46,0.44,0.3582,430
3,10,0,0.3,0.49,0.3284,192
3,6,1,0.18,0.59,0.1343,91
3,2,2,0.2,0.44,0.2239,4
3,22,2,0.28,0.56,0.1642,106
3,18,3,0.56,0.4,0.4627,544
3,14,4,0.62,0.43,0.6418,203
3,10,5,0.34,0.36,0.4925,159
3,6,6,0.22,0.44,0.2836,12
3,3,0,0.24,0.6,0.1343,66
3,23,0,0.4,0.5,0.1642,52
3,19,1,0.56,0.49,0.2239,446
3,15,2,0.7,0.39,0.2239,264
3,11,3,0.62,0.41,0.1642,220
3,7,4,0.44,0.72,0.0896,381
3,3,5,0.4,0.87,0.2836,3
3,23,5,0.44,0.94,0.0,126
3,19,6,0.58,0.64,0.2836,417
3,15,0,0.54,0.68,0.0896,554
3,11,1,0.56,0.68,0.1642,201
3,7,2,0.52,0.94,0.2239,170
3,3,3,0.5,0.88,0.194,8
3,23,3,0.54,0.77,0.0,125
3,19,4,0.66,0.61,0.0,586
3,15,5,0.72,0.42,0.1343,472
3,11,6,0.5,0.94,0.194,273
3,7,0,0.4,0.94,0.3284,39
3,3,1,0.46,0.82,0.194,1
3,23,1,0.34,0.25,0.5224,48
3,19,2,0.42,0.17,0.0,417
3,15,3,0.62,0.41,0.2985,199
3,11,4,0.5,0.45,0.4179,220
3,7,5,0.32,0.57,0.1642,289
3,3,6,0.4,0.82,0.2537,31
3,23,6,0.36,0.76,0.2836,112
4,19,0,0.52,0.55,0.2239,346
4,16,1,0.5,0.34,0.3284,395
4,12,2,0.52,0.25,0.0,331
4,8,3,0.44,0.72,0.1045,684
4,4,4,0.38,0.43,0.2836,1
4,0,5,0.4,0.43,0.0,61
4,20,5,0.46,0.24,0.2836,252
4,16,6,0.54,0.19,0.3881,615
4,12,0,0.54,0.24,0.2537,457
4,8,1,0.44,0.3,0.194,617
4,4,2,0.34,0.71,0.1343,2
4,0,3,0.34,0.36,0.4179,30
4,21,3,0.34,0.57,0.3881,165
4,17,4,0.5,0.27,0.3881,656
4,13,5,0.52,0.27,0.2836,358
4,9,6,0.42,0.54,0.1343,265
4,5,0,0.5,0.68,0.1642,10
4,1,1,0.62,0.61,0.3582,28
4,21,1,0.68,0.51,0.2537,271
4,17,2,0.64,0.25,0.2985,781
4,13,3,0.46,0.59,0.0,64
4,9,4,0.46,0.72,0.0,301
4,5,5,0.42,0.94,0.0,25
4,1,6,0.52,0.77,0.2239,88
4,21,6,0.5,0.82,0.3881,102
4,17,0,0.36,0.93,0.4478,27
4,13,1,0.34,0.66,0.3881,107
4,9,2,0.4,0.47,0.3582,308
4,5,3,0.34,0.66,0.0,24
4,1,4,0.48,0.48,0.0896,23
4,21,4,0.52,0.83,0.2239,250
4,17,5,0.54,0.24,0.3881,702
4,13,6,0.4,0.37,0.0,389
4,9,0,0.4,0.71,0.1343,185
4,5,1,0.38,0.62,0.2537,20
5,1,2,0.5,0.63,0.1343,21
5,21,2,0.64,0.65,0.1343,282
5,17,3,0.6,0.73,0.2537,729
5,13,4,0.6,0.69,0.194,265
5,9,5,0.6,0.78,0.0,294
5,5,6,0.56,0.88,0.0896,22
5,1,0,0.54,0.83,0.2239,121
5,21,0,0.56,0.73,0.194,203
5,17,1,0.6,0.53,0.3284,769
5,13,2,0.64,0.65,0.2537,219
5,9,3,0.6,0.83,0.0,325
5,5,4,0.46,0.72,0.2985,24
5,1,5,0.46,0.51,0.1343,46
5,21,5,0.6,0.28,0.1045,270
5,17,6,0.66,0.36,0.194,576
5,13,0,0.68,0.54,0.2537,602
5,9,1,0.54,0.88,0.2836,110
5,5,2,0.56,0.94,0.2239,8
5,1,3,0.58,0.88,0.1343,21
5,21,3,0.64,0.73,0.194,393
5,17,4,0.66,0.31,0.1343,852
5,13,5,0.64,0.36,0.1642,395
5,9,6,0.56,0.43,0.1642,292
5,5,0,0.5,0.72,0.1045,8
5,1,1,0.58,0.88,0.3582,15
5,21,1,0.62,0.69,0.0896,241
5,17,2,0.72,0.54,0.0,785
5,13,3,0.66,0.74,0.1642,270
5,9,4,0.62,0.73,0.1642,301
5,5,5,0.62,0.88,0.0896,30
5,1,6,0.64,0.83,0.1343,82
5,21,6,0.72,0.62,0.194,251
5,17,0,0.78,0.49,0.2985,522
5,13,1,0.8,0.63,0.2836,556
5,9,2,0.72,0.7,0.2537,257
5,5,3,0.62,0.78,0.1343,41
5,1,4,0.64,0.69,0.0896,26
5,21,4,0.68,0.44,0.1642,359
6,17,5,0.7,0.7,0.2537,227
6,13,6,0.62,0.41,0.2537,679
6,9,0,0.6,0.46,0.194,300
6,5,1,0.52,0.68,0.0,35
6,1,2,0.52,0.77,0.3284,20
6,21,2,0.54,0.56,0.1642,283
6,17,3,0.62,0.43,0.1343,724
6,13,4,0.7,0.37,0.2836,315
6,9,5,0.62,0.53,0.1642,382
6,5,6,0.6,0.56,0.1045,19
6,1,0,0.64,0.73,0.1343,116
6,21,0,0.72,0.62,0.1642,253
6,17,1,0.8,0.41,0.3582,800
6,13,2,0.66,0.83,0.194,59
6,9,3,0.64,0.69,0.5821,352
6,5,4,0.6,0.56,0.2537,40
6,1,5,0.58,0.78,0.194,51
6,21,5,0.66,0.5,0.1045,333
6,17,6,0.72,0.37,0.2537,593
6,13,0,0.64,0.53,0.1642,614
6,9,1,0.54,0.83,0.2239,250
6,5,2,0.6,0.78,0.194,37
6,1,3,0.68,0.79,0.194,27
6,21,3,0.84,0.44,0.0896,344
6,17,4,0.88,0.37,0.0,615
6,13,5,0.88,0.39,0.2239,300
6,9,6,0.72,0.62,0.194,332
6,5,0,0.62,0.69,0.1343,8
6,1,1,0.7,0.65,0.2239,31
6,21,1,0.68,0.3,0.3284,331
6,17,2,0.72,0.28,0.4179,900
6,13,3,0.8,0.27,0.3284,321
6,9,4,0.7,0.54,0.1642,351
6,5,5,0.7,0.61,0.1045,45
6,1,6,0.64,0.89,0.2239,58
6,21,6,0.82,0.52,0.1642,213
7,17,0,0.92,0.26,0.2985,413
7,13,1,0.86,0.34,0.2239,236
7,9,2,0.8,0.49,0.1642,272
7,5,3,0.66,0.69,0.0,19
7,1,4,0.74,0.51,0.2836,30
7,21,4,0.84,0.47,0.194,323
7,17,5,0.92,0.29,0.0,576
7,13,6,0.96,0.31,0.2537,360
7,9,0,0.86,0.5,0.1045,242
7,5,1,0.66,0.83,0.2239,28
7,1,2,0.7,0.74,0.1343,15
7,21,2,0.64,0.89,0.1045,90
7,17,3,0.8,0.31,0.2239,830
7,13,4,0.8,0.33,0.2239,277
7,9,5,0.72,0.51,0.0,414
7,5,6,0.64,0.73,0.1045,5
7,1,0,0.68,0.89,0.1343,168
7,21,0,0.72,0.79,0.0896,223
7,17,1,0.76,0.66,0.5821,755
7,13,2,0.92,0.31,0.194,221
